 Image,RA,DEC,Simple,Dust strip,Bulge,Overlap,Irregular,X-type,Interacting
,27.89578,-8.58797,-1,0,1,-1,-1,1,-1
,222.84646,4.83772,-1,1,1,-1,1,0,-1
,157.48434,23.61749,-1,0,1,-1,-1,1,-1
,244.01414,11.48090,-1,-1,1,-1,-1,-1,-1
,20.26226,33.89856,-1,1,1,-1,-1,0,-1
,56.23323,5.90525,-1,1,-1,-1,-1,-1,-1
,163.28179,25.65953,-1,1,1,-1,-1,-1,-1
,37.32337,-1.62064,-1,1,1,-1,-1,-1,-1
,43.60925,42.65007,1,-1,-1,-1,-1,-1,-1
,2.19020,-4.63259,1,-1,-1,-1,-1,-1,-1
,266.05654,20.04548,1,0,-1,-1,-1,-1,-1
,231.62353,41.29318,1,-1,-1,-1,-1,-1,-1
,56.40086,-7.47196,-1,1,1,-1,1,-1,1
,113.91068,66.41513,-1,1,0,-1,-1,1,-1
,26.54379,-9.78964,1,-1,-1,-1,-1,-1,-1
,20.03088,4.55936,-1,-1,0,-1,-1,-1,-1
,34.44518,-5.22258,-1,-1,1,-1,-1,-1,-1
,218.69450,3.34158,-1,1,1,1,-1,0,-1
,244.24400,27.61844,-1,-1,1,-1,-1,-1,-1
,251.21631,10.95281,-1,1,1,-1,-1,-1,-1
,129.15085,25.13699,-1,1,-1,-1,-1,-1,-1
,29.55427,13.55331,1,-1,-1,-1,-1,-1,-1
,355.53512,10.49572,1,0,0,-1,-1,-1,-1
,345.66140,-20.09495,-1,1,-1,-1,-1,-1,-1
,31.73619,21.82311,-1,1,1,-1,-1,1,-1
,113.17591,-13.90070,-1,1,1,-1,-1,-1,-1
,168.78699,2.59540,-1,1,1,-1,-1,-1,-1
,331.02156,-2.66548,1,-1,-1,-1,-1,-1,-1
,252.95345,78.75367,-1,-1,-1,-1,0,-1,-1
,347.32423,0.06444,-1,1,0,-1,-1,-1,-1
,320.07330,-1.68439,-1,1,1,-1,-1,-1,-1
,239.00710,4.76950,-1,-1,1,-1,-1,-1,-1
,326.16024,6.95997,-1,1,1,-1,-1,-1,-1
,340.67158,-0.05794,-1,1,1,-1,-1,1,-1
,314.84690,2.08798,-1,1,1,-1,1,-1,-1
,136.00379,-0.08924,-1,1,0,-1,1,-1,-1
,52.20329,40.16849,-1,-1,1,-1,-1,-1,-1
,21.68240,11.66703,-1,1,1,1,-1,-1,-1
,167.23196,26.61043,-1,1,1,1,-1,-1,-1
,225.10174,3.50194,-1,1,-1,1,-1,0,-1
,186.06313,8.53884,-1,1,-1,-1,-1,-1,-1
,113.94029,35.71742,-1,1,1,-1,-1,-1,-1
,346.38096,-9.01140,-1,1,1,-1,-1,-1,-1
,336.30027,-2.54706,-1,1,1,-1,-1,-1,-1
,24.44195,49.88263,1,-1,-1,-1,-1,-1,-1
,296.06173,77.77693,1,0,-1,-1,-1,-1,-1
,279.02032,20.20033,-1,1,-1,-1,-1,-1,-1
,16.47928,1.47776,-1,1,1,-1,-1,-1,-1
,21.41385,-8.80303,1,0,-1,-1,-1,-1,-1
,350.18200,1.19873,-1,1,1,-1,-1,-1,-1
,211.75270,14.88123,-1,1,1,-1,-1,-1,-1
,324.94456,-0.11298,-1,1,1,-1,-1,-1,-1
,337.95785,0.44711,-1,1,0,-1,-1,1,-1
,20.63377,-2.41011,-1,1,1,-1,-1,0,-1
,159.84524,0.56549,-1,1,1,-1,-1,0,-1
,348.89631,-2.59302,-1,-1,1,-1,-1,-1,-1
,124.57348,1.56054,-1,1,-1,-1,1,-1,-1
,341.15838,-4.95984,-1,1,-1,-1,-1,-1,-1
,280.54863,17.63552,-1,1,-1,0,-1,-1,-1
,40.60413,28.49330,1,0,-1,-1,-1,-1,-1
,9.59018,-7.81638,-1,1,-1,-1,-1,-1,-1
,350.87952,17.42209,-1,1,0,-1,-1,0,-1
,177.56837,-0.39629,-1,1,1,-1,-1,-1,-1
,236.46526,0.03522,-1,1,-1,-1,1,-1,-1
,26.02011,-7.49407,1,-1,-1,-1,-1,-1,-1
,243.72843,4.17431,1,-1,-1,0,-1,-1,-1
,251.95465,9.42469,1,-1,-1,-1,-1,-1,-1
,243.26281,-14.13436,-1,1,1,-1,-1,-1,-1
,102.43623,82.62883,-1,0,0,-1,-1,-1,-1
,189.99070,-8.06813,-1,1,1,-1,-1,-1,-1
,25.02352,-18.91121,-1,-1,1,-1,1,-1,-1
,103.51019,39.29167,-1,1,1,-1,-1,-1,-1
,72.91364,-5.64413,1,-1,-1,-1,-1,-1,-1
,43.25487,1.46194,-1,0,1,-1,-1,-1,-1
